logsales	lnsqheat	lnsqunht	bedrooms	acres	age	totbaths	numgarge	numfirep	daysmkt	closespr	closesum	closefal	salespr	basement	diningrm	familyrm	office	patio	deck	porch	stycontm	styranch	stytradt	stytrans	brick	cedar	fiber	hardwood	vinyl	elecheat	elemdist	middist	highdist	onestory	sqftheat	squnheat
12.65837363	7.746301	0	3	0.14	0	2.5	2	1	59	1	0	0	314385	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3.0214	1.6162	1.0772	0	2313	0
12.68230682	7.644441	0	3	0.11	8	2.5	2	1	58	0	0	0	322000	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.2199	0.6373	4.5183	0	2089	0
12.35341448	7.843849	0	4	0.46	3	2.5	2	1	51	0	0	0	231750	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1.3037	0.5227	2.2467	0	2550	0
13.25339164	8.367068	0	4	2.15	4	3.5	2	1	158	1	0	0	570000	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	2.6599	2.6384	2.6294	0	4303	0
12.79385931	8.023552	0	4	0.42	18	2.5	2	1	249	0	1	0	360000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.7202	0.7328	1.2152	0	3052	0
12.70684793	7.97074	6.614726	4	0.47	15	2.5	2	1	308	0	1	0	330000	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0.3699	1.4506	0.2345	0	2895	746
12.75995776	7.897668	0	3	0.2	3	2.5	2	1	161	1	0	0	348000	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0.4928	0.5187	4.3215	0	2691	0
11.82407989	7.33106	0	3	0	25	2.5	0	1	77	0	0	0	136500	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1.8088	0.6068	1.8448	0	1527	0
12.99225469	7.993958	0	4	0.36	0	4	2	1	165	1	0	0	439000	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2.9542	1.4957	1.1222	0	2963	0
11.73606902	6.959399	0	3	0.46	47	1.5	0	0	98	0	0	0	125000	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1.5735	2.954	3.2826	1	1053	0
13.19002203	8.17611	0	5	1.21	12	4.5	3	1	127	1	0	0	535000	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0.5501	2.1109	2.4108	0	3555	0
13.19002203	8.315566	6.579251	5	1.5	23	5	2	2	83	0	0	0	535000	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1.6989	2.6218	0.5414	0	4087	720
12.92391244	7.848934	5.793014	4	0	40	3.5	1	1	104	0	0	0	410000	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0.1738	0.2491	2.1009	0	2563	328
12.30092818	7.649693	0	4	1.23	13	2.5	0	1	147	0	0	0	219900	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	5.3253	5.3296	6.7937	1	2100	0
12.85579027	8.025516	5.472271	4	0.25	7	2.5	2	1	77	0	0	0	383000	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0.6439	0.3728	3.8454	0	3058	238
12.92391244	7.98105	0	4	0.14	3	3.5	2	1	150	1	0	0	410000	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0.4967	0.5721	4.3544	0	2925	0
12.10071213	7.660585	4.795791	4	1.85	31	2	1	1	123	0	0	0	180000	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1.7996	7.738	3.6064	0	2123	121
12.11450545	7.422374	6.040255	3	0.11	19	3	2	1	134	1	0	0	182500	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0.1996	1.5341	1.9176	0	1673	420
12.76568843	7.874739	0	4	0.58	19	3.5	1	1	93	0	0	0	350000	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1.1221	1.1935	1.1028	0	2630	0
13.20854107	8.235626	5.808142	5	0.22	4	3.5	2	1	84	0	0	0	545000	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0.6042	0.2771	4.1385	0	3773	333
11.76756768	7.34601	0	3	0.46	29	2	0	0	243	0	1	0	129000	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1.5005	1.5023	2.9658	1	1550	0
12.9360338	8.053569	0	6	0.2572	7	4	2	1	73	0	0	0	415000	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1.0867	2.1184	1.671	0	3145	0
12.36734079	7.868254	0	4	0.3	6	2.5	2	1	36	0	0	0	235000	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	2.5544	6.8414	1.212	0	2613	0
13.01700286	7.733684	6.006353	3	0.55	19	4.5	2	1	107	1	0	0	450000	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0.7774	0.6637	1.7169	0	2284	406
11.67419361	7.107425	0	3	0.23	21	1	0	0	231	0	1	0	117500	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1.9695	7.0848	2.4477	0	1221	0
12.64432758	7.665285	0	5	0.47	38	3	0	0	143	1	0	0	310000	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1.1845	2.5786	2.9885	0	2133	0
12.65395847	7.745868	5.135798	3	0.07	4	2.5	2	1	23	0	0	0	313000	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0.4921	0.4669	4.2915	0	2312	170
12.79358149	8.090402	0	4	0.29	16	3.5	2	1	105	0	0	0	359900	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1.0104	0.3439	1.5559	0	3263	0
13.17115354	8.160518	0	4	2.37	19	3.5	2	1	59	0	0	0	525000	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2.7341	4.0626	0.9872	1	3500	0
12.51282178	7.652546	0	4	0.25	9	2.5	2	1	20	0	0	0	271800	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0.6584	0.3408	3.8662	0	2106	0
12.23076526	7.454141	0	3	0.18	12	2.5	0	1	174	1	0	0	205000	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0.8934	0.3182	3.9321	0	1727	0
